[2020-07-06 00:16:16] [ INFO ] [SwhitchCase:386] hilo en marcha.
[2020-07-06 00:51:57] [ INFO ] [SwhitchCase:377] Se ha comprado el articulo.
[2020-07-06 00:54:30] [ INFO ] [SwhitchCase:389] hilo en marcha.
[2020-07-06 00:55:00] [ INFO ] [SwhitchCase:377] Se ha comprado el articulo.
[2020-07-06 02:07:05] [ INFO ] [SwhitchCase:384] Se ha comprado el articulo.
[2020-07-06 02:14:46] [ INFO ] [SwhitchCase:387] hilo en marcha.
[2020-07-06 02:15:06] [ INFO ] [SwhitchCase:384] Se ha comprado el articulo.
[2020-07-06 02:16:42] [ INFO ] [SwhitchCase:387] hilo en marcha.
[2020-07-06 02:16:58] [ INFO ] [SwhitchCase:384] Se ha comprado el articulo.
[2020-07-06 02:26:21] [ INFO ] [SwhitchCase:68] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 02:29:19] [ INFO ] [SwhitchCase:119] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 02:35:52] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 02:36:29] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 02:51:12] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 11:25:48] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 11:26:32] [ INFO ] [SwhitchCase:67] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 11:57:27] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 11:59:22] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
[2020-07-06 12:00:58] [ INFO ] [SwhitchCase:118] SwhitchCase.SwhitchCase(): >>>>>> Muensaje enviado a compañero.
